,cpu,cpu_point
364,AMD Ryzen 3 5300U,9934
365,Intel Core i7-10710U @ 1.10GHz,9920
366,Intel Core i7-1068NG7 @ 2.30GHz,9917
367,Intel Core i7-7740X @ 4.30GHz,9891
368,Intel Core i5-8600 @ 3.10GHz,9866
369,Intel Core i5-1140G7 @ 1.10GHz,9865
370,Intel Core i7-5820K @ 3.30GHz,9828
371,Intel Core i5-9500 @ 3.00GHz,9737
372,Intel Core i3-10305 @ 3.80GHz,9689
373,Intel Core i7-7700K @ 4.20GHz,9673
374,AMD Ryzen 5 PRO 3350GE,9643
375,Intel Core i5-8500 @ 3.00GHz,9584
376,Intel Core i5-9400F @ 2.90GHz,9543
377,Intel Core i5-1038NG7 @ 2.00GHz,9527
378,Intel Core i5-9400 @ 2.90GHz,9478
379,AMD Ryzen 5 2500X,9438
380,AMD Ryzen 5 PRO 3350G,9431
381,Intel Core i7-4930K @ 3.40GHz,9373
382,Intel Core i5-8500B @ 3.00GHz,9357
383,AMD Ryzen 5 3350GE,9343
384,AMD Ryzen 5 3400G,9338
385,AMD Ryzen 5 PRO 1500,9336
386,AMD Ryzen 5 PRO 3400G,9295
387,Intel Core i5-8400 @ 2.80GHz,9240
388,Intel Core i7-1160G7 @ 1.20GHz,9229
389,Intel Core i5-9500TE @ 2.20GHz,9212
390,Intel Core i3-10300 @ 3.70GHz,9153
391,Intel Core i7-1185GRE @ 2.80GHz,9142
392,AMD Ryzen 5 3350G,9113
393,Intel Core i7-9850HL @ 1.90GHz,9112
394,AMD Ryzen 5 1500X,9111
395,Intel Core i3-10105F @ 3.70GHz,9106
396,Intel Core i7-6700K @ 4.00GHz,8971
397,AMD Ryzen 5 3400GE,8900
398,Intel Core i5-3170K @ 3.20GHz,8882
399,Intel Core i5-1130G7 @ 1.10GHz,8853
400,Intel Core i3-10100F @ 3.60GHz,8848
401,Intel Core i5-10400H @ 2.60GHz,8841
402,Intel Core i3-10105 @ 3.70GHz,8831
403,Intel Core i3-10100 @ 3.60GHz,8767
404,Intel Core i7-8559U @ 2.70GHz,8752
405,AMD Ryzen 5 2400G,8729
406,Intel Core i7-8809G @ 3.10GHz,8713
407,ARM X-Gene 32 Core 3300 MHz,8684
408,Intel Core i7-7700 @ 3.60GHz,8653
409,Intel Core i5-10300H @ 2.50GHz,8647
410,Intel Core i7-1065G7 @ 1.30GHz,8551
411,Apple A14 Bionic,8527
412,Intel Core i7-1180G7 @ 1.30GHz,8514
413,Intel Core i5-1035G7 @ 1.20GHz,8502
414,Intel Core i7-3960X @ 3.30GHz,8496
415,AMD Ryzen Embedded V1807B,8491
416,Intel Core i7-8569U @ 2.80GHz,8479
417,Intel Core i5-9600T @ 2.30GHz,8464
418,AMD Ryzen 5 PRO 2400G,8399
419,Intel Core i7-3970X @ 3.50GHz,8396
420,Intel Core i7-8706G @ 3.10GHz,8388
421,Intel Core i5-10200H @ 2.40GHz,8358
422,AMD Ryzen Embedded V1756B,8339
423,AMD Opteron 6386 SE,8320
424,Intel Core i5-8600T @ 2.30GHz,8293
425,Intel Core i5-9400H @ 2.50GHz,8289
426,AMD Ryzen 5 PRO 3400GE,8270
427,Intel Core i5-9500T @ 2.20GHz,8263
428,AMD Ryzen 7 3750H,8261
429,Intel Core i7-3930K @ 3.20GHz,8250
430,Intel Core i3-10100E @ 3.20GHz,8229
431,Intel Core i7-8557U @ 1.70GHz,8192
432,Intel Core i3-10305T @ 3.00GHz,8136
433,Intel Core i3-10300T @ 3.00GHz,8119
434,MediaTek MT6983,8112
435,Intel Core i5-1035G4 @ 1.10GHz,8110
436,Intel Core i7-6700 @ 3.40GHz,8086
437,AMD Athlon Gold PRO 4150GE,8070
438,Intel Core i5-8259U @ 2.30GHz,8067
439,Intel Core i7-4790K @ 4.00GHz,8059
440,Intel Core i5-8269U @ 2.60GHz,8055
441,AMD Opteron 6348,8030
442,Intel Core i5-8400H @ 2.50GHz,8013
